word_id,word
870,1646
871,1712
872,1738
873,1741
874,1748
875,1769
876,1812
877,1813
878,1818
879,1826
880,1886
881,1888
882,1937
883,1966
884,1972
885,2007
886,2053
887,2125
888,2155
889,2186
890,2197
891,2221
892,2295
893,2411
894,2447
895,2449
896,2493
897,2513
898,2540
899,2544
900,2610
901,2625
902,2628
903,2678
904,2847
905,2885
906,2959
907,2987
908,3002
909,3063
910,3074
911,3080
912,3145
913,3236
914,3310
915,3336
916,3380
917,3391
918,3405
919,3423
920,3432
921,3557
922,3704
923,3710
924,3734
925,3819
926,3852
927,3944
928,4036
929,4048
930,4142
931,4159
932,4229
933,4305
934,4311
935,4340
936,4359
937,4391
938,4917
939,4931
940,236
941,253
942,386
943,441
944,473
945,511
946,532
947,703
948,781
949,791
950,818
951,822
952,828
953,917
954,966
955,1057
956,1087
957,1140
958,1279
959,1291
960,1305
961,1427
962,1509
963,1549
964,1676
965,1681
966,1724
967,1792
968,1814
969,1821
970,1865
971,1876
972,2042
973,2575
974,2739
975,2832
976,2895
977,2945
978,2949
979,3037
980,3102
981,3118
982,3218
983,3246
984,3344
985,3390
986,3465
987,3487
988,3699
989,3702
990,3979
991,4002
992,4128
993,4463
994,4561
995,4573
996,4596
997,4603
998,4692
999,4777
1000,4877
1001,125
1002,592
1003,595
1004,623
1005,1106
1006,1148
1007,1513
1008,1784
1009,1970
1010,2933
1011,3204
1012,3666
1013,3869
1014,4030
1015,4047
1016,161
1017,238
1018,250
1019,283
1020,311
1021,324
1022,359
1023,380
1024,409
1025,416
1026,422
1027,426
1028,431
1029,447
1030,472
1031,499
1032,506
1033,538
1034,544
1035,575
1036,581
1037,639
1038,651
1039,667
1040,688
1041,716
1042,802
1043,836
1044,854
1045,865
1046,900
1047,901
1048,906
1049,912
1050,921
1051,924
1052,948
1053,952
1054,959
1055,970
1056,979
1057,993
1058,997
1059,1061
1060,1064
1061,1069
1062,1103
1063,1111
1064,1151
1065,1195
1066,1255
1067,1298
1068,1386
1069,1400
1070,1459
1071,1489
1072,1512
1073,1527
1074,1533
1075,1625
1076,1683
1077,1728
1078,1753
1079,1757
1080,1801
1081,1839
1082,1843
1083,1875
1084,1882
1085,1910
1086,1983
1087,2003
1088,2010
1089,2016
1090,2021
1091,2073
1092,2104
1093,2133
1094,2149
1095,2208
1096,2229
1097,2246
1098,2315
1099,2365
1100,2395
1101,2507
1102,2603
1103,2650
1104,2656
1105,2662
1106,2736
1107,2817
1108,2860
1109,2912
1110,2982
1111,3023
1112,3125
1113,3256
1114,3312
1115,3329
1116,3369
1117,3455
1118,3527
1119,3569
1120,3598
1121,3675
1122,3797
1123,4075
1124,4223
1125,4386
1126,4458
1127,4482
1128,4484
1129,4645
1130,4764
1131,4816
1132,240
1133,347
1134,370
1135,446
1136,450
1137,460
1138,503
1139,518
1140,597
1141,607
1142,668
1143,726
1144,1123
1145,1331
1146,1456
1147,2224
1148,2290
1149,2292
1150,2297
1151,2335
1152,2354
1153,2417
